"Parent","parent_sku","post_parent","ID","post_status","menu_order","sku","downloadable","virtual","stock","stock_status","regular_price","sale_price","weight","length","width","height","tax_class","file_path","file_paths","download_limit","images","downloadable_files","tax:product_shipping_class","meta:attribute_pa_chain","meta:attribute_pa_color","meta:attribute_pa_diamonds","meta:attribute_pa_material","meta:attribute_pa_measure"
"Moonlight","Moonlight VARIABLE","1654","1995","publish","0","Moonlight","no","no","","instock","289,00","","","","","","","","","","","","","","","","","10-mm"
"Chardonnay","Chardonnay VARIABLE","1655","1889","publish","2","Chardonnay-1","no","no","","instock","229,00","","","","","","","","","","","","","60-cm-o-12-mm","","132-stones","","12-mm"
"Chardonnay","Chardonnay VARIABLE","1655","1890","publish","3","Chardonnay-2","no","no","","instock","289,00","","","","","","","","","","","","","80-cm-o-12-mm","","165-stones","","15-mm"
"Chardonnay","Chardonnay VARIABLE","1655","1891","publish","1","Chardonnay","no","no","","instock","289,00","","","","","","","","","","","","","45-cm-o-12-mm","","97-stones","","10-mm"
"Blue Lake","Blue Lake VARIABLE","1656","1886","publish","0","Blue Lake-1","no","no","0","instock","229,00","","","","","","","","","","","","","","","","","12-mm"
"Blue Lake","Blue Lake VARIABLE","1656","1887","publish","0","Blue Lake-2","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","15-mm"
"Blue Lake","Blue Lake VARIABLE","1656","1888","publish","0","Blue Lake","no","no","","instock","289,00","","","","","","","","","","","","","","","","","10-mm"
"Berry Field","Berry Field VARIABLE","1657","1883","publish","0","Berry Field-1","no","no","0","instock","229,00","","","","","","","","","","","","","","","","","12-mm"
"Berry Field","Berry Field VARIABLE","1657","1884","publish","0","Berry Field-2","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","15-mm"
"Berry Field","Berry Field VARIABLE","1657","1885","publish","0","Berry Field","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","10-mm"
"Green Eye","Green Eye VARIABLE","1658","1984","publish","0","Green Eye-1","no","no","0","instock","229,00","","","","","","","","","","","","","","","","","12-mm"
"Green Eye","Green Eye VARIABLE","1658","1985","publish","0","Green Eye-2","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","15-mm"
"Green Eye","Green Eye VARIABLE","1658","1986","publish","0","Green Eye","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","10-mm"
"Purple Plum","Purple Plum VARIABLE","1659","2100","publish","0","Purple Plum-1","no","no","0","instock","229,00","","","","","","","","","","","","","","","","","12-mm"
"Purple Plum","Purple Plum VARIABLE","1659","2101","publish","0","Purple Plum-2","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","15-mm"
"Purple Plum","Purple Plum VARIABLE","1659","2102","publish","0","Purple Plum","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","10-mm"
"CL001 DGYS","CL001 DGYS VARIABLE","1660","1892","publish","0","CL001 DBS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl001-dgys/CL001DBS-1.jpg","","","","dbs","","",""
"CL001 DGYS","CL001 DGYS VARIABLE","1660","1893","publish","0","CL001 GYS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl001-dgys/CL001GYS.jpg","","","","gys","","",""
"CL001 DGYS","CL001 DGYS VARIABLE","1660","1894","publish","0","CL001 DGYS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl001-dgys/CL001DBS.jpg","","","","dgys","","",""
"FRUIT69546 DB","FRUIT69546 DB VARIABLE","1661","1959","publish","0","FRUIT69546 DB","no","no","0","instock","260,00","","","","","","","","","","","","","","db","","","15-cm"
"FRUIT69546 DB","FRUIT69546 DB VARIABLE","1661","1958","publish","0","FRUIT69546 GR","no","no","0","instock","260,00","","","","","","","","","","","","","","gr","","","15-cm"
"FRUIT69546 DB","FRUIT69546 DB VARIABLE","1661","1956","publish","0","FRUIT69546 R","no","no","0","instock","260,00","","","","","","","","","","","","","","r","","","15-cm"
"FRUIT69546 DB","FRUIT69546 DB VARIABLE","1661","1957","publish","0","FRUIT69546 V","no","no","0","instock","260,00","","","","","","","","","","","","","","v","","","15-cm"
"E001149-G-LB","E001149-G-LB VARIABLE","1662","1926","publish","0","E001149-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","15-mm"
"E001149-G-LB","E001149-G-LB VARIABLE","1662","1924","publish","0","E001149-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","15-mm"
"E001149-G-LB","E001149-G-LB VARIABLE","1662","1925","publish","0","E001149-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","15-mm"
"FLUTE4217 V","FLUTE4217 V VARIABLE","1663","1954","publish","0","FLUTE4217 GR","no","no","0","instock","150,00","","","","","","","","","","","","","","gr","","","150-ml-x2"
"FLUTE4217 V","FLUTE4217 V VARIABLE","1663","1955","publish","0","FLUTE4217 V","no","no","0","instock","150,00","","","","","","","","","","","","","","v","","","150-ml-x2"
"FLUTE4217 V","FLUTE4217 V VARIABLE","1663","1953","publish","0","FLUTE4217 DB","no","no","0","instock","150,00","","","","","","","","","","","","","","db","","","150-ml-x2"
"FLUTE4217 V","FLUTE4217 V VARIABLE","1663","1952","publish","0","FLUTE4217 R","no","no","0","instock","150,00","","","","","","","","","","","","","","r","","","150-ml-x2"
"FTD-BOX0300 DB","FTD-BOX0300 DB VARIABLE","1664","1960","publish","0","FTD-BOX0300 R","no","no","0","instock","300,00","","","","","","","","","","","","","","r","","","17-cm"
"FTD-BOX0300 DB","FTD-BOX0300 DB VARIABLE","1664","1961","publish","0","FTD-BOX0300 V","no","no","0","instock","300,00","","","","","","","","","","","","","","v","","","17-cm"
"FTD-BOX0300 DB","FTD-BOX0300 DB VARIABLE","1664","1962","publish","0","FTD-BOX0300 GR","no","no","0","instock","300,00","","","","","","","","","","","","","","gr","","","17-cm"
"FTD-BOX0300 DB","FTD-BOX0300 DB VARIABLE","1664","1963","publish","0","FTD-BOX0300 DB","no","no","0","instock","300,00","","","","","","","","","","","","","","db","","","17-cm"
"WINE4217 GR","WINE4217 GR VARIABLE","1665","2111","publish","0","WINE4217 DB","no","no","0","instock","140,00","","","","","","","","","","","","","","db","","","170-ml-x2"
"WINE4217 GR","WINE4217 GR VARIABLE","1665","2110","publish","0","WINE4217 R","no","no","0","instock","140,00","","","","","","","","","","","","","","r","","","170-ml-x2"
"WINE4217 GR","WINE4217 GR VARIABLE","1665","2112","publish","0","WINE4217 V","no","no","0","instock","140,00","","","","","","","","","","","","","","v","","","170-ml-x2"
"WINE4217 GR","WINE4217 GR VARIABLE","1665","2113","publish","0","WINE4217 GR","no","no","0","instock","140,00","","","","","","","","","","","","","","gr","","","170-ml-x2"
"VASE2299/8 GR","VASE2299/8 GR VARIABLE","1666","2109","publish","0","VASE2299/8 GR","no","no","0","instock","260,00","","","","","","","","","","","","","","gr","","","18-cm"
"VASE2299/8 GR","VASE2299/8 GR VARIABLE","1666","2106","publish","0","VASE2299/8 R","no","no","0","instock","260,00","","","","","","","","","","","","","","r","","","18-cm"
"VASE2299/8 GR","VASE2299/8 GR VARIABLE","1666","2107","publish","0","VASE2299/8 DB","no","no","0","instock","260,00","","","","","","","","","","","","","","db","","","18-cm"
"VASE2299/8 GR","VASE2299/8 GR VARIABLE","1666","2108","publish","0","VASE2299/8 V","no","no","0","instock","260,00","","","","","","","","","","","","","","v","","","18-cm"
"CL004 DB","CL004 DB VARIABLE","1667","1901","publish","0","CL004 GR","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl004-db/CL004GR.jpg","","","","gr","","",""
"CL004 DB","CL004 DB VARIABLE","1667","1902","publish","0","CL004 R","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl004-db/CL004R.jpg","","","","r","","",""
"CL004 DB","CL004 DB VARIABLE","1667","1903","publish","0","CL004 DB","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl004-db/CL004DB.jpg","","","","db","","",""
"P001152-G-B","P001152-G-B VARIABLE","1668","2020","publish","0","P001152-G-DB","no","no","0","instock","98,00","","","","","","","","","","","","","","g-db","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2021","publish","0","P001152-G-GR","no","no","0","instock","98,00","","","","","","","","","","","","","","g-gr","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2022","publish","0","P001152-G-LB","no","no","0","instock","98,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2023","publish","0","P001152-G-PI","no","no","0","instock","98,00","","","","","","","","","","","","","","g-pi","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2024","publish","0","P001152-G-V","no","no","0","instock","98,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2025","publish","0","P001152-G-W","no","no","0","instock","98,00","","","","","","","","","","","","","","g-w","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2026","publish","0","P001152-G-Y","no","no","0","instock","98,00","","","","","","","","","","","","","","g-y","","","18-mm"
"P001152-G-B","P001152-G-B VARIABLE","1668","2027","publish","0","P001152-G-B","no","no","0","instock","98,00","","","","","","","","","","","","","","g-b","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2032","publish","0","P001153-G-V","no","no","0","instock","98,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2033","publish","0","P001153-G-W","no","no","0","instock","98,00","","","","","","","","","","","","","","g-w","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2034","publish","0","P001153-G-Y","no","no","0","instock","98,00","","","","","","","","","","","","","","g-y","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2035","publish","0","P001153-G-B","no","no","0","instock","98,00","","","","","","","","","","","","","","g-b","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2028","publish","0","P001153-G-DB","no","no","0","instock","98,00","","","","","","","","","","","","","","g-db","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2029","publish","0","P001153-G-GR","no","no","0","instock","98,00","","","","","","","","","","","","","","g-gr","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2030","publish","0","P001153-G-LB","no","no","0","instock","98,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001153-G-B","P001153-G-B VARIABLE","1669","2031","publish","0","P001153-G-PI","no","no","0","instock","98,00","","","","","","","","","","","","","","g-pi","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2036","publish","0","P001154-G-DB","no","no","0","instock","98,00","","","","","","","","","","","","","","g-db","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2037","publish","0","P001154-G-GR","no","no","0","instock","98,00","","","","","","","","","","","","","","g-gr","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2038","publish","0","P001154-G-LB","no","no","0","instock","98,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2039","publish","0","P001154-G-PI","no","no","0","instock","98,00","","","","","","","","","","","","","","g-pi","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2040","publish","0","P001154-G-V","no","no","0","instock","98,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2041","publish","0","P001154-G-W","no","no","0","instock","98,00","","","","","","","","","","","","","","g-w","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2042","publish","0","P001154-G-Y","no","no","0","instock","98,00","","","","","","","","","","","","","","g-y","","","18-mm"
"P001154-G-B","P001154-G-B VARIABLE","1670","2043","publish","0","P001154-G-B","no","no","0","instock","98,00","","","","","","","","","","","","","","g-b","","","18-mm"
"E001146-G-LB","E001146-G-LB VARIABLE","1671","1918","publish","0","E001146-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"E001146-G-LB","E001146-G-LB VARIABLE","1671","1919","publish","0","E001146-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"E001146-G-LB","E001146-G-LB VARIABLE","1671","1920","publish","0","E001146-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"E001147-G-LB","E001147-G-LB VARIABLE","1672","1922","publish","0","E001147-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"E001147-G-LB","E001147-G-LB VARIABLE","1672","1921","publish","0","E001147-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"E001147-G-LB","E001147-G-LB VARIABLE","1672","1923","publish","0","E001147-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"E001151-G-LB","E001151-G-LB VARIABLE","1673","1927","publish","0","E001151-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"E001151-G-LB","E001151-G-LB VARIABLE","1673","1928","publish","0","E001151-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"E001151-G-LB","E001151-G-LB VARIABLE","1673","1929","publish","0","E001151-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001146-G-LB","P001146-G-LB VARIABLE","1674","2008","publish","0","P001146-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001146-G-LB","P001146-G-LB VARIABLE","1674","2009","publish","0","P001146-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"P001146-G-LB","P001146-G-LB VARIABLE","1674","2010","publish","0","P001146-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001147-G-LB","P001147-G-LB VARIABLE","1675","2011","publish","0","P001147-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001147-G-LB","P001147-G-LB VARIABLE","1675","2012","publish","0","P001147-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"P001147-G-LB","P001147-G-LB VARIABLE","1675","2013","publish","0","P001147-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001149-G-LB","P001149-G-LB VARIABLE","1676","2014","publish","0","P001149-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001149-G-LB","P001149-G-LB VARIABLE","1676","2015","publish","0","P001149-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"P001149-G-LB","P001149-G-LB VARIABLE","1676","2016","publish","0","P001149-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001151-G-LB","P001151-G-LB VARIABLE","1677","2019","publish","0","P001151-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","18-mm"
"P001151-G-LB","P001151-G-LB VARIABLE","1677","2017","publish","0","P001151-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","18-mm"
"P001151-G-LB","P001151-G-LB VARIABLE","1677","2018","publish","0","P001151-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","18-mm"
"CL005 BS","CL005 BS VARIABLE","1684","1904","publish","0","CL005 R","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl005-bs/CL005R.jpg","","","","r","","",""
"CL005 BS","CL005 BS VARIABLE","1684","1905","publish","0","CL005 W","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl005-bs/CL005W.jpg","","","","w","","",""
"CL005 BS","CL005 BS VARIABLE","1684","1906","publish","0","CL005 BS","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl005-bs/CL005BS.jpg","","","","bs","","",""
"PF052 DB","PF052 DB VARIABLE","1685","2090","publish","1","PF052 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf052-db/PF052-DB.jpg","","","","db","","",""
"PF052 DB","PF052 DB VARIABLE","1685","2088","publish","2","PF052 DBS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf052-db/PF052-DBS.jpg","","","","dbs","","",""
"PF052 DB","PF052 DB VARIABLE","1685","2089","publish","3","PF052 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf052-db/PF052-R.jpg","","","","r","","",""
"PF054 DB","PF054 DB VARIABLE","1686","2096","publish","1","PF054 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf054-db/PF054-DB.jpg","","","","db","","",""
"PF054 DB","PF054 DB VARIABLE","1686","2095","publish","3","PF054 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf054-db/PF054-R.jpg","","","","r","","",""
"PF054 DB","PF054 DB VARIABLE","1686","2094","publish","2","PF054 GR","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf054-db/PF054-GR.jpg","","","","gr","","",""
"PF055 DB","PF055 DB VARIABLE","1687","2097","publish","2","PF055 GR","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf055-db/PF055-GR.jpg","","","","gr","","",""
"PF055 DB","PF055 DB VARIABLE","1687","2098","publish","3","PF055 W","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf055-db/PF055-W.jpg","","","","w","","",""
"PF055 DB","PF055 DB VARIABLE","1687","2099","publish","1","PF055 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf055-db/PF055-DB.jpg","","","","db","","",""
"PF050 DB","PF050 DB VARIABLE","1688","2082","publish","2","PF050 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf050-db/PF050-R.jpg","","","","r","","",""
"PF050 DB","PF050 DB VARIABLE","1688","2083","publish","3","PF050 W","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf050-db/PF050-W.jpg","","","","w","","",""
"PF050 DB","PF050 DB VARIABLE","1688","2084","publish","1","PF050 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf050-db/PF050-DB.jpg","","","","db","","",""
"PF051 DB","PF051 DB VARIABLE","1689","2086","publish","3","PF051 W","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf051-db/PF051-W.jpg","","","","w","","",""
"PF051 DB","PF051 DB VARIABLE","1689","2085","publish","2","PF051 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf051-db/PF051-R.jpg","","","","r","","",""
"PF051 DB","PF051 DB VARIABLE","1689","2087","publish","1","PF051 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf051-db/PF051-DB.jpg","","","","db","","",""
"PF053 GR","PF053 GR VARIABLE","1690","2091","publish","2","PF053 GR","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf053-gr/PF053-GR.jpg","","","","gr","","",""
"PF053 GR","PF053 GR VARIABLE","1690","2092","publish","3","PF053 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf053-gr/PF053-R.jpg","","","","r","","",""
"PF053 GR","PF053 GR VARIABLE","1690","2093","publish","1","PF053 DBS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf053-gr/PF053-DBS.jpg","","","","dbs","","",""
"R001149-G-LB","R001149-G-LB VARIABLE","1691","2103","publish","0","R001149-G-V","no","no","0","instock","108,00","","","","","","","","","","","","","","g-v","","","19-mm"
"R001149-G-LB","R001149-G-LB VARIABLE","1691","2104","publish","0","R001149-G-Y","no","no","0","instock","108,00","","","","","","","","","","","","","","g-y","","","19-mm"
"R001149-G-LB","R001149-G-LB VARIABLE","1691","2105","publish","0","R001149-G-LB","no","no","0","instock","108,00","","","","","","","","","","","","","","g-lb","","","19-mm"
"CL002 LB","CL002 LB VARIABLE","1692","1895","publish","0","CL002 GR","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl002-lb/CL002GR.jpg","","","","gr","","",""
"CL002 LB","CL002 LB VARIABLE","1692","1896","publish","0","CL002 W","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl002-lb/CL002W.jpg","","","","w","","",""
"CL002 LB","CL002 LB VARIABLE","1692","1897","publish","0","CL002 LB","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl002-lb/CL002LB.jpg","","","","lb","","",""
"CL006 DBS","CL006 DBS VARIABLE","1694","1907","publish","0","CL006 GRS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl006-dbs/CL006GRS.jpg","","","","grs","","",""
"CL006 DBS","CL006 DBS VARIABLE","1694","1908","publish","0","CL006 RS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl006-dbs/CL006RS.jpg","","","","rs","","",""
"CL006 DBS","CL006 DBS VARIABLE","1694","1909","publish","0","CL006 DBS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl006-dbs/CL006DBS.jpg","","","","dbs","","",""
"CL003 LBS","CL003 LBS VARIABLE","1695","1898","publish","0","CL003 R","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl003-lbs/CL003R.jpg","","","","r","","",""
"CL003 LBS","CL003 LBS VARIABLE","1695","1899","publish","0","CL003 W","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl003-lbs/CL003W.jpg","","","","w","","",""
"CL003 LBS","CL003 LBS VARIABLE","1695","1900","publish","0","CL003 LBS","no","no","","instock","234,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl003-lbs/CL003LBS.jpg","","","","lbs","","",""
"PF006 B","PF006 B VARIABLE","1702","2053","publish","0","PF006 GR","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-GR.jpg","","","","gr","","",""
"PF006 B","PF006 B VARIABLE","1702","2052","publish","0","PF006 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-DB.jpg","","","","db","","",""
"PF006 B","PF006 B VARIABLE","1702","2051","publish","0","PF006 BS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-BS.jpg","","","","bs","","",""
"PF006 B","PF006 B VARIABLE","1702","2054","publish","0","PF006 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-R.jpg","","","","r","","",""
"PF006 B","PF006 B VARIABLE","1702","2055","publish","0","PF006 W","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-W.jpg","","","","w","","",""
"PF006 B","PF006 B VARIABLE","1702","2056","publish","0","PF006 B","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf006-b/PF006-B.jpg","","","","b","","",""
"23929 B","23929 B VARIABLE","1703","1866","publish","2","23929 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23929-b/23929-DB.jpg","","","","db","","",""
"23929 B","23929 B VARIABLE","1703","1867","publish","3","23929 DBS","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23929-b/23929-DBS.jpg","","","","dbs","","",""
"23929 B","23929 B VARIABLE","1703","1868","publish","4","23929 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23929-b/23929-R.jpg","","","","r","","",""
"23929 B","23929 B VARIABLE","1703","1869","publish","5","23929 W","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23929-b/23929-W.jpg","","","","w","","",""
"23929 B","23929 B VARIABLE","1703","1870","publish","1","23929 B","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23929-b/23929-B.jpg","","","","b","","",""
"23802 B","23802 B VARIABLE","1704","1842","publish","2","23802 DB","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23802-b/23802-DB.jpg","","","","db","","",""
"23802 B","23802 B VARIABLE","1704","1843","publish","3","23802 R","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23802-b/23802-R.jpg","","","","r","","",""
"23802 B","23802 B VARIABLE","1704","1844","publish","1","23802 B","no","no","","instock","214,00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23802-b/23802-B.jpg","","","","b","","",""
"23802 B","23802 B VARIABLE","1704","2458","publish","1","23802 GR","no","no","","instock","214.00","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23802-b/23802-GR.jpg","","","","gr","","",""
