Parent,parent_sku,sku,regular_price,meta:attribute_pa_color,meta:attribute_pa_measure
23800 DB,23800 DB,23800 TB,"214,00",TB,22 mm
23802 B,23802 B,238012 GR,"214,00",GR,22 mm
23802 B,23802 B,23802 DB,"214,00",DB,22 mm
23802 B,23802 B,23802 R,"214,00",R,22 mm
23840 DV,23840 DV,23840 R,"214,00",R,22 mm
23840 DV,23840 DV,23840 V,"214,00",V,22 mm
23878 DB,23878 DB,23878 TB,"214,00",TB,22 mm
23878 DB,23878 DB,23878 W,"214,00",W,22 mm
23910 BG,23910 BG,23910 BS,"214,00",BS,22 mm
23910 BG,23910 BG,23910 DB,"214,00",DB,22 mm
23910 BG,23910 BG,23910 DBS,"214,00",DBS,22 mm
23910 BG,23910 BG,23910 DV,"214,00",DV,22 mm
23910 BG,23910 BG,23910 GR,"214,00",GR,22 mm
23910 BG,23910 BG,23910 R,"214,00",R,22 mm
23910 BG,23910 BG,23910 W,"214,00",W,22 mm
23927 DB,23927 DB,23927 R,"214,00",R,22 mm
23928 DBG,23928 DBG,23928 DBS,"214,00",DBS,22 mm
23928 DBG,23928 DBG,23928 R,"214,00",R,22 mm
23928 DBG,23928 DBG,23928 TB,"214,00",TB,22 mm
23928 DBG,23928 DBG,23928 W,"214,00",W,22 mm
23929 B,23929 B,23929 DB,"214,00",DB,22 mm
23929 B,23929 B,23929 DBS,"214,00",DBS,22 mm
23929 B,23929 B,23929 R,"214,00",R,22 mm
23929 B,23929 B,23929 W,"214,00",W,22 mm
23947 DB,23947 DB,23947 R,"214,00",R,22 mm
23947 DB,23947 DB,23947 V,"214,00",V,22 mm
23979 G,23979 G,23979 S,"214,00",S,22 mm
63003 G,63003 G,63003 S,"214,00",S,22 mm
63006 BG,63006 BG,63006 BS,"214,00",BS,22 mm
63006 BG,63006 BG,63006 DBS,"214,00",DBS,22 mm
63006 BG,63006 BG,63006 R,"214,00",R,22 mm
E001146-G-LB,E001146-G-LB,E001146-G-V,"108,00",G-V,18 mm
E001146-G-LB,E001146-G-LB,E001146-G-Y,"108,00",G-Y,18 mm
E001147-G-LB,E001147-G-LB,E001147-G-V,"108,00",G-V,18 mm
E001147-G-LB,E001147-G-LB,E001147-G-Y,"108,00",G-Y,18 mm
E001149-G-LB,E001149-G-LB,E001149-G-V,"108,00",G-V,15 mm
E001149-G-LB,E001149-G-LB,E001149-G-Y,"108,00",G-Y,15 mm
E001151-G-LB,E001151-G-LB,E001151-G-V,"108,00",G-V,18 mm
E001151-G-LB,E001151-G-LB,E001151-G-Y,"108,00",G-Y,18 mm
P001146-G-LB,P001146-G-LB,P001146-G-V,"108,00",G-V,18 mm
P001146-G-LB,P001146-G-LB,P001146-G-Y,"108,00",G-Y,18 mm
P001147-G-LB,P001147-G-LB,P001147-G-V,"108,00",G-V,18 mm
P001147-G-LB,P001147-G-LB,P001147-G-Y,"108,00",G-Y,18 mm
P001149-G-LB,P001149-G-LB,P001149-G-V,"108,00",G-V,18 mm
P001149-G-LB,P001149-G-LB,P001149-G-Y,"108,00",G-Y,18 mm
P001151-G-LB,P001151-G-LB,P001151-G-V,"108,00",G-V,18 mm
P001151-G-LB,P001151-G-LB,P001151-G-Y,"108,00",G-Y,18 mm
P001152-G-B,P001152-G-B,P001152-G-DB,"98,00",G-DB,18 mm
P001152-G-B,P001152-G-B,P001152-G-GR,"98,00",G-GR,18 mm
P001152-G-B,P001152-G-B,P001152-G-LB,"98,00",G-LB,18 mm
P001152-G-B,P001152-G-B,P001152-G-PI,"98,00",G-PI,18 mm
P001152-G-B,P001152-G-B,P001152-G-V,"98,00",G-V,18 mm
P001152-G-B,P001152-G-B,P001152-G-W,"98,00",G-W,18 mm
P001152-G-B,P001152-G-B,P001152-G-Y,"98,00",G-Y,18 mm
P001153-G-B,P001153-G-B,P001153-G-DB,"98,00",G-DB,18 mm
P001153-G-B,P001153-G-B,P001153-G-GR,"98,00",G-GR,18 mm
P001153-G-B,P001153-G-B,P001153-G-LB,"98,00",G-LB,18 mm
P001153-G-B,P001153-G-B,P001153-G-PI,"98,00",G-PI,18 mm
P001153-G-B,P001153-G-B,P001153-G-V,"98,00",G-V,18 mm
P001153-G-B,P001153-G-B,P001153-G-W,"98,00",G-W,18 mm
P001153-G-B,P001153-G-B,P001153-G-Y,"98,00",G-Y,18 mm
P001154-G-B,P001154-G-B,P001154-G-DB,"98,00",G-DB,18 mm
P001154-G-B,P001154-G-B,P001154-G-GR,"98,00",G-GR,18 mm
P001154-G-B,P001154-G-B,P001154-G-LB,"98,00",G-LB,18 mm
P001154-G-B,P001154-G-B,P001154-G-PI,"98,00",G-PI,18 mm
P001154-G-B,P001154-G-B,P001154-G-V,"98,00",G-V,18 mm
P001154-G-B,P001154-G-B,P001154-G-W,"98,00",G-W,18 mm
P001154-G-B,P001154-G-B,P001154-G-Y,"98,00",G-Y,18 mm
PF003 DB,PF003 DB,PF003 GR,"214,00",GR,22 mm
PF003 DB,PF003 DB,PF003 R,"214,00",R,22 mm
PF003 DB,PF003 DB,PF003 TB,"214,00",TB,22 mm
PF004 B,PF004 B,PF004 R,"214,00",R,22 mm
PF004 B,PF004 B,PF004 TB,"214,00",TB,22 mm
PF006 B,PF006 B,PF006 BS,"214,00",BS,22 mm
PF006 B,PF006 B,PF006 DB,"214,00",DB,22 mm
PF006 B,PF006 B,PF006 GR,"214,00",GR,22 mm
PF006 B,PF006 B,PF006 R,"214,00",R,22 mm
PF006 B,PF006 B,PF006 W,"214,00",W,22 mm
PF010 DB,PF010 DB,PF010 R,"214,00",R,22 mm
PF015 DB,PF015 DB,PF015 B,"214,00",B,22 mm
PF015 DB,PF015 DB,PF015 GR,"214,00",GR,22 mm
PF015 DB,PF015 DB,PF015 R,"214,00",R,22 mm
PF015 DB,PF015 DB,PF015 W,"214,00",W,22 mm
PF016 DB,PF016 DB,PF016 R,"214,00",R,22 mm
PF016 DB,PF016 DB,PF016 V,"214,00",V,22 mm
PF016 DB,PF016 DB,PF016 W,"214,00",W,22 mm
PF019 B,PF019 B,PF019 DB,"214,00",DB,22 mm
PF019 B,PF019 B,PF019 TB,"214,00",TB,22 mm
PF024 B,PF024 B,PF024 R,"214,00",R,22 mm
PF026 B,PF026 B,PF026 GR,"214,00",GR,22 mm
PF029 DB,PF029 DB,PF029 GR,"214,00",GR,22 mm
PF029 DB,PF029 DB,PF029 R,"214,00",R,22 mm
PF029 DB,PF029 DB,PF029 TB,"214,00",TB,22 mm
PF030 B,PF030 B,PF030 R,"214,00",R,22 mm
PF031 DB,PF031 DB,PF031 B,"214,00",B,22 mm
PF050 DB,PF050 DB,PF050 R,"214,00",R,19 mm
PF050 DB,PF050 DB,PF050 W,"214,00",W,19 mm
PF051 DB,PF051 DB,PF051 R,"214,00",R,19 mm
PF051 DB,PF051 DB,PF051 W,"214,00",W,19 mm
PF052 DB,PF052 DB,PF052 DBS,"214,00",DBS,19 mm
PF052 DB,PF052 DB,PF052 R,"214,00",R,19 mm
PF053 DBS,PF053 DBS,PF053 GR,"214,00",GR,19 mm
PF053 DBS,PF053 DBS,PF053 R,"214,00",R,19 mm
PF054 DB,PF054 DB,PF054 GR,"214,00",GR,19 mm
PF054 DB,PF054 DB,PF054 R,"214,00",R,19 mm
PF055 DB,PF055 DB,PF055 GR,"214,00",GR,19 mm
PF055 DB,PF055 DB,PF055 W,"214,00",W,19 mm
R001149-G-LB,R001149-G-LB,R001149-G-V,"108,00",G-V,19 mm
R001149-G-LB,R001149-G-LB,R001149-G-Y,"108,00",G-Y,19 mm
AS-5,AS-5,AG-5,"89,00",G,
HS-5,HS-5,HG-5,"149,00",G,
P000816-B-W,P000816-B-W,P000816-B-W-1,"128,00",B-W,25 mm
P000816-G-W,P000816-G-W,P000816-G-W-1,"128,00",G-W,26 mm
P000817-B-W,P000817-B-W,P000817-B-W-1,"128,00",B-W,27 mm
P000817-G-W,P000817-G-W,P000817-G-W-1,"128,00",G-W,28 mm
P000818-B-W,P000818-B-W,P000818-B-W-1,"128,00",B-W,29 mm
P000818-G-W,P000818-G-W,P000818-G-W-1,"128,00",G-W,30 mm
